Entity,DBpedia_URI
Freiburg,http://dbpedia.org/resource/Freiburg_im_Breisgau
Weimar Republic,http://dbpedia.org/resource/Weimar_Republic
Der Blaue Reiter,http://dbpedia.org/resource/Der_Blaue_Reiter
the German Film Awards,http://dbpedia.org/resource/Deutscher_Filmpreis
Olympic Games,http://dbpedia.org/resource/Olympic_Games
the Latin Germania,http://dbpedia.org/resource/Germania
Max Ernst,http://dbpedia.org/resource/Max_Ernst
the Nordic Bronze Age,http://dbpedia.org/resource/Nordic_Bronze_Age
the Protestant Church,http://dbpedia.org/resource/Protestantism
Garmisch-Partenkirchen,http://dbpedia.org/resource/Garmisch-Partenkirchen
Stasi,http://dbpedia.org/resource/Stasi
BMW,http://dbpedia.org/resource/BMW
Carolingian,http://dbpedia.org/resource/Carolingian_dynasty
Friedrich Schiller,http://dbpedia.org/resource/Friedrich_Schiller
Austria-Hungary,http://dbpedia.org/resource/Austria-Hungary
the Cold War,http://dbpedia.org/resource/Cold_War
Bundesliga,http://dbpedia.org/resource/Bundesliga
Trümmerfilm,http://dbpedia.org/resource/Trümmerfilm
Volkswagen Group,http://dbpedia.org/resource/Volkswagen
Friedrich Ebert,http://dbpedia.org/resource/Friedrich_Ebert
the Warsaw Pact,http://dbpedia.org/resource/Warsaw_Pact
the Baltic Sea,http://dbpedia.org/resource/Baltic_Sea
UNESCO World Heritage Sites,http://dbpedia.org/resource/UNESCO
Lower Saxony,http://dbpedia.org/resource/Lower_Saxony
Karlheinz Stockhausen,http://dbpedia.org/resource/Karlheinz_Stockhausen
Great Depression,http://dbpedia.org/resource/Great_Depression
The Port of Hamburg,http://dbpedia.org/resource/Hamburg
Paul Kalkbrenner,http://dbpedia.org/resource/Paul_Kalkbrenner
Luxembourg,http://dbpedia.org/resource/Luxembourg
East Berlin,http://dbpedia.org/resource/East_Berlin
Taliban,http://dbpedia.org/resource/Taliban
Thomas Mann,http://dbpedia.org/resource/Thomas_Mann
Gerhart Hauptmann,http://dbpedia.org/resource/Gerhart_Hauptmann
Volker Schlöndorff,http://dbpedia.org/resource/Volker_Schlöndorff
The Humboldt University of Berlin,http://dbpedia.org/resource/Berlin
the Wadden Sea National Parks,http://dbpedia.org/resource/Wadden_Sea
Konrad Adenauer,http://dbpedia.org/resource/Konrad_Adenauer
BBC News,http://dbpedia.org/resource/BBC_News
the Population Division of the United Nations Department of Economic and Social Affairs,http://dbpedia.org/resource/United_Nations
Deutsche Welle,http://dbpedia.org/resource/Deutsche_Welle
German Confederation,http://dbpedia.org/resource/German_Confederation
World War II,http://dbpedia.org/resource/World_War_II
The Frankfurt Book Fair,http://dbpedia.org/resource/Frankfurt_Book_Fair
